program,value,vote,year,text
"0606020 Legislations, Treaties and Advisory Services",550637211,1252 State Law Office and Department of Justice,2019,"1252 State Law Office and Department of Justice 0606020 Legislations, Treaties and Advisory Services"
0606030 Public Trusts and Estates management,248807784,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0606030 Public Trusts and Estates management
0606040 Registration Services,505417328,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0606040 Registration Services
0606050 Copyrights Protection,125500000,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0606050 Copyrights Protection
0606000 Legal Services,2478794518,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0606000 Legal Services
0607010 Governance Reforms,328912641,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0607010 Governance Reforms
0607020 Constitutional and Legal Reforms,637440000,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0607020 Constitutional and Legal Reforms
0607030 Legal Education Training and Policy,1025850000,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0607030 Legal Education Training and Policy
"0607000 Governance, Legal Training and Constitutional Affairs",1992202641,1252 State Law Office and Department of Justice,2019,"1252 State Law Office and Department of Justice 0607000 Governance, Legal Training and Constitutional Affairs"
0609010 Transformation of Public legal services,111430000,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0609010 Transformation of Public legal services
0609020 Administrative services,722072841,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0609020 Administrative services
0609030 Human rights Policy,4e+06,1252 State Law Office and Department of Justice,2019,1252 State Law Office and Department of Justice 0609030 Human rights Policy
"0609000 General Administration, Planning and Support Services",837502841,1252 State Law Office and Department of Justice,2019,"1252 State Law Office and Department of Justice 0609000 General Administration, Planning and Support Services"
0611010 Ethics and Anti-Corruption,2966620000,1271 Ethics and Anti- Corruption Commission,2019,1271 Ethics and Anti- Corruption Commission 0611010 Ethics and Anti-Corruption
0611000 Ethics and Anti-Corruption,2966620000,1271 Ethics and Anti- Corruption Commission,2019,1271 Ethics and Anti- Corruption Commission 0611000 Ethics and Anti-Corruption
0804010 Security Intelligence,3.666e+10,1281 National Intelligence Service,2019,1281 National Intelligence Service 0804010 Security Intelligence
0804000 National Security Intelligence,3.666e+10,1281 National Intelligence Service,2019,1281 National Intelligence Service 0804000 National Security Intelligence
0612010 Prosecution of criminal offences,2376258948,1291 Office of the Director of Public Prosecutions,2019,1291 Office of the Director of Public Prosecutions 0612010 Prosecution of criminal offences
0612050 General Administration Planning and Support Services,667036052,1291 Office of the Director of Public Prosecutions,2019,1291 Office of the Director of Public Prosecutions 0612050 General Administration Planning and Support Services
0612000 Public Prosecution Services,3043295000,1291 Office of the Director of Public Prosecutions,2019,1291 Office of the Director of Public Prosecutions 0612000 Public Prosecution Services
4100000 Financial Assets,1.6e+08,1311 Office of the Registrar of Political Parties,2019,1311 Office of the Registrar of Political Parties 4100000 Financial Assets
4100000 Financial Assets,1.6e+08,1311 Office of the Registrar of Political Parties,2019,1311 Office of the Registrar of Political Parties 4100000 Financial Assets
4100000 Financial Assets,1.6e+08,1311 Office of the Registrar of Political Parties,2019,1311 Office of the Registrar of Political Parties 4100000 Financial Assets
0614010 Registration and regulation of political parties,402920000,1311 Office of the Registrar of Political Parties,2019,1311 Office of the Registrar of Political Parties 0614010 Registration and regulation of political parties
0614020 Funding of political parties,371190000,1311 Office of the Registrar of Political Parties,2019,1311 Office of the Registrar of Political Parties 0614020 Funding of political parties
0614030 Political parties liaison committee,24600000,1311 Office of the Registrar of Political Parties,2019,1311 Office of the Registrar of Political Parties 0614030 Political parties liaison committee
"0614000 Registration, Regulation and Funding of Political Parties",798710000,1311 Office of the Registrar of Political Parties,2019,"1311 Office of the Registrar of Political Parties 0614000 Registration, Regulation and Funding of Political Parties"
4100000 Financial Assets,40024938,1321 Witness Protection Agency,2019,1321 Witness Protection Agency 4100000 Financial Assets
4100000 Financial Assets,40024938,1321 Witness Protection Agency,2019,1321 Witness Protection Agency 4100000 Financial Assets
4100000 Financial Assets,40024938,1321 Witness Protection Agency,2019,1321 Witness Protection Agency 4100000 Financial Assets
0615010 Witness Protection,481600000,1321 Witness Protection Agency,2019,1321 Witness Protection Agency 0615010 Witness Protection
0615000 Witness Protection,481600000,1321 Witness Protection Agency,2019,1321 Witness Protection Agency 0615000 Witness Protection
4100000 Financial Assets,9e+06,2011 Kenya National Commission on Human Rights,2019,2011 Kenya National Commission on Human Rights 4100000 Financial Assets
4100000 Financial Assets,9e+06,2011 Kenya National Commission on Human Rights,2019,2011 Kenya National Commission on Human Rights 4100000 Financial Assets
4100000 Financial Assets,9e+06,2011 Kenya National Commission on Human Rights,2019,2011 Kenya National Commission on Human Rights 4100000 Financial Assets
"0616010 Complaints, Investigations and redress",384301220,2011 Kenya National Commission on Human Rights,2019,"2011 Kenya National Commission on Human Rights 0616010 Complaints, Investigations and redress"
0616000 Protection and Promotion of Human Rights,384301220,2011 Kenya National Commission on Human Rights,2019,2011 Kenya National Commission on Human Rights 0616000 Protection and Promotion of Human Rights
4100000 Financial Assets,,2021 National Land Commission,2019,2021 National Land Commission 4100000 Financial Assets
4100000 Financial Assets,,2021 National Land Commission,2019,2021 National Land Commission 4100000 Financial Assets
4100000 Financial Assets,,2021 National Land Commission,2019,2021 National Land Commission 4100000 Financial Assets
"0119010 General Administration, Planning and Support Services",1164426473,2021 National Land Commission,2019,"2021 National Land Commission 0119010 General Administration, Planning and Support Services"
0119020 Land Administration and Management,89446016,2021 National Land Commission,2019,2021 National Land Commission 0119020 Land Administration and Management
0119030 Public Land Information Management,6505847,2021 National Land Commission,2019,2021 National Land Commission 0119030 Public Land Information Management
0119040 Land Disputes and Conflict Resolution,47821664,2021 National Land Commission,2019,2021 National Land Commission 0119040 Land Disputes and Conflict Resolution
0116000 Land Administration and Management,1308200000,2021 National Land Commission,2019,2021 National Land Commission 0116000 Land Administration and Management
4100000 Financial Assets,20170225,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 4100000 Financial Assets
4100000 Financial Assets,20170225,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 4100000 Financial Assets
4100000 Financial Assets,20170225,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 4100000 Financial Assets
0617010 General Administration Planning and Support Services,3620570770,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 0617010 General Administration Planning and Support Services
0617020 Voter Registration and Electoral Operations,99022896,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 0617020 Voter Registration and Electoral Operations
0617030 Voter Education and Partnerships,55958004,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 0617030 Voter Education and Partnerships
0617040 Electoral Information and Communication Technology,494841965,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 0617040 Electoral Information and Communication Technology
0617000 Management of Electoral Processes,4270393635,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 0617000 Management of Electoral Processes
0618010 Delimitation of Electoral Boundaries,533016365,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 0618010 Delimitation of Electoral Boundaries
0618000 Delimitation of Electoral Boundaries,533016365,2031 Independent Electoral and Boundaries Commission,2019,2031 Independent Electoral and Boundaries Commission 0618000 Delimitation of Electoral Boundaries
4100000 Financial Assets,126200000,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 4100000 Financial Assets
4100000 Financial Assets,126200000,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 4100000 Financial Assets
4100000 Financial Assets,126200000,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 4100000 Financial Assets
0737010 General Administration and Support Services,399126743,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 0737010 General Administration and Support Services
0737020 Equitable Sharing of Revenues,23290156,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 0737020 Equitable Sharing of Revenues
0737030 Public Financial Management,16352000,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 0737030 Public Financial Management
0737040 Transitional Equalization,18088000,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 0737040 Transitional Equalization
0737000 Inter-Governmental Transfers and Financial Matters,456856899,2061 The Commission on Revenue Allocation,2019,2061 The Commission on Revenue Allocation 0737000 Inter-Governmental Transfers and Financial Matters
4100000 Financial Assets,12500000,2071 Public Service Commission,2019,2071 Public Service Commission 4100000 Financial Assets
4100000 Financial Assets,12500000,2071 Public Service Commission,2019,2071 Public Service Commission 4100000 Financial Assets
4100000 Financial Assets,12500000,2071 Public Service Commission,2019,2071 Public Service Commission 4100000 Financial Assets
0725010 Administration,757026723,2071 Public Service Commission,2019,2071 Public Service Commission 0725010 Administration
0725020 Board Management Service,39022536,2071 Public Service Commission,2019,2071 Public Service Commission 0725020 Board Management Service
"0725000 General Administration, Planning and Support Services",796049259,2071 Public Service Commission,2019,"2071 Public Service Commission 0725000 General Administration, Planning and Support Services"
0726010 Establishment and Management and Consultancy Service,65032806,2071 Public Service Commission,2019,2071 Public Service Commission 0726010 Establishment and Management and Consultancy Service
0726020 Human Resource Management,142138251,2071 Public Service Commission,2019,2071 Public Service Commission 0726020 Human Resource Management
0726030 Human Resource Development,54157565,2071 Public Service Commission,2019,2071 Public Service Commission 0726030 Human Resource Development
0726000 Human Resource management and Development,261328622,2071 Public Service Commission,2019,2071 Public Service Commission 0726000 Human Resource management and Development
0727010 Compliance and quality assurance,104375465,2071 Public Service Commission,2019,2071 Public Service Commission 0727010 Compliance and quality assurance
"0727020 Ethics, Governance and National values",48303404,2071 Public Service Commission,2019,"2071 Public Service Commission 0727020 Ethics, Governance and National values"
0727000 Governance and National Values,152678869,2071 Public Service Commission,2019,2071 Public Service Commission 0727000 Governance and National Values
0744010 Performance and Productivity Management,26423250,2071 Public Service Commission,2019,2071 Public Service Commission 0744010 Performance and Productivity Management
0744000 Performance and Productivity Management,26423250,2071 Public Service Commission,2019,2071 Public Service Commission 0744000 Performance and Productivity Management
4100000 Financial Assets,6.7e+07,2081 Salaries and Remuneration Commission,2019,2081 Salaries and Remuneration Commission 4100000 Financial Assets
4100000 Financial Assets,6.7e+07,2081 Salaries and Remuneration Commission,2019,2081 Salaries and Remuneration Commission 4100000 Financial Assets
4100000 Financial Assets,6.7e+07,2081 Salaries and Remuneration Commission,2019,2081 Salaries and Remuneration Commission 4100000 Financial Assets
0728010 Remuneration and Benefits management,649960000,2081 Salaries and Remuneration Commission,2019,2081 Salaries and Remuneration Commission 0728010 Remuneration and Benefits management
0728000 Salaries and Remuneration Management,649960000,2081 Salaries and Remuneration Commission,2019,2081 Salaries and Remuneration Commission 0728000 Salaries and Remuneration Management
4100000 Financial Assets,1e+08,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 4100000 Financial Assets
4100000 Financial Assets,1e+08,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 4100000 Financial Assets
4100000 Financial Assets,1e+08,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 4100000 Financial Assets
0509010 Teacher Management- Primary,163640984624,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0509010 Teacher Management- Primary
0509020 Teacher management - Secondary,76156474976,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0509020 Teacher management - Secondary
0509030 Teacher management - Tertiary,4728420786,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0509030 Teacher management - Tertiary
0509000 Teacher Resource Management,244525880386,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0509000 Teacher Resource Management
0510010 Quality assurance and standards,7849645,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0510010 Quality assurance and standards
0510020 Teacher professional development,5748360,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0510020 Teacher professional development
0510030 Teacher capacity development,405903361,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0510030 Teacher capacity development
0510000 Governance and Standards,419501366,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0510000 Governance and Standards
"0511010 Policy, Planning and Support Service",6065078455,2091 Teachers Service Commission,2019,"2091 Teachers Service Commission 0511010 Policy, Planning and Support Service"
0511020 Field Services,476968411,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0511020 Field Services
0511030 Automation of TSC Operations,263571382,2091 Teachers Service Commission,2019,2091 Teachers Service Commission 0511030 Automation of TSC Operations
"0511000 General Administration, Planning and Support Services",6805618248,2091 Teachers Service Commission,2019,"2091 Teachers Service Commission 0511000 General Administration, Planning and Support Services"
0620010 Human Resource Management,392390000,2101 National Police Service Commission,2019,2101 National Police Service Commission 0620010 Human Resource Management
0620020 Police Vetting,,2101 National Police Service Commission,2019,2101 National Police Service Commission 0620020 Police Vetting
0620030 Administration and Standards Setting,249852600,2101 National Police Service Commission,2019,2101 National Police Service Commission 0620030 Administration and Standards Setting
0620040 Counselling Management Services,94627400,2101 National Police Service Commission,2019,2101 National Police Service Commission 0620040 Counselling Management Services
0620000 National Police Service Human Resource Management,736870000,2101 National Police Service Commission,2019,2101 National Police Service Commission 0620000 National Police Service Human Resource Management
4100000 Financial Assets,4e+07,2111 Auditor General,2019,2111 Auditor General 4100000 Financial Assets
4100000 Financial Assets,4e+07,2111 Auditor General,2019,2111 Auditor General 4100000 Financial Assets
4100000 Financial Assets,,2111 Auditor General,2019,2111 Auditor General 4100000 Financial Assets
4100000 Financial Assets,4e+07,2111 Auditor General,2019,2111 Auditor General 4100000 Financial Assets
0729010 CDF Audits,71447300,2111 Auditor General,2019,2111 Auditor General 0729010 CDF Audits
0729020 County Governments Audit,746440200,2111 Auditor General,2019,2111 Auditor General 0729020 County Governments Audit
0729030 Specialized Audits,363984100,2111 Auditor General,2019,2111 Auditor General 0729030 Specialized Audits
0729040 National Government Audit,4531238400,2111 Auditor General,2019,2111 Auditor General 0729040 National Government Audit
0729000 Audit Services,5713110000,2111 Auditor General,2019,2111 Auditor General 0729000 Audit Services
4100000 Financial Assets,172106300,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 4100000 Financial Assets
4100000 Financial Assets,172106300,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 4100000 Financial Assets
4100000 Financial Assets,172106300,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 4100000 Financial Assets
0730010 Authorization of withdrawal from public Funds,219450001,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 0730010 Authorization of withdrawal from public Funds
0730020 Budget implementation and Monitoring,47775804,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 0730020 Budget implementation and Monitoring
0730030 General Administration Planning and Support Services,414317679,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 0730030 General Administration Planning and Support Services
0730040 Research & Development,21556516,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 0730040 Research & Development
0730000 Control and Management of Public finances,703100000,2121 Office of the Controller of Budget,2019,2121 Office of the Controller of Budget 0730000 Control and Management of Public finances
4100000 Financial Assets,1e+08,2131 The Commission on Administrative Justice,2019,2131 The Commission on Administrative Justice 4100000 Financial Assets
4100000 Financial Assets,1e+08,2131 The Commission on Administrative Justice,2019,2131 The Commission on Administrative Justice 4100000 Financial Assets
4100000 Financial Assets,1e+08,2131 The Commission on Administrative Justice,2019,2131 The Commission on Administrative Justice 4100000 Financial Assets
0731020 General Administration and Support Services,397438143,2131 The Commission on Administrative Justice,2019,2131 The Commission on Administrative Justice 0731020 General Administration and Support Services
0731030 Administrative Justice Services,140894492,2131 The Commission on Administrative Justice,2019,2131 The Commission on Administrative Justice 0731030 Administrative Justice Services
0731040 Access to Information Services,26707365,2131 The Commission on Administrative Justice,2019,2131 The Commission on Administrative Justice 0731040 Access to Information Services
0731000 Promotion of Administrative Justice,565040000,2131 The Commission on Administrative Justice,2019,2131 The Commission on Administrative Justice 0731000 Promotion of Administrative Justice
4100000 Financial Assets,5e+07,2141 National Gender and Equality Commission,2019,2141 National Gender and Equality Commission 4100000 Financial Assets
4100000 Financial Assets,5e+07,2141 National Gender and Equality Commission,2019,2141 National Gender and Equality Commission 4100000 Financial Assets
4100000 Financial Assets,5e+07,2141 National Gender and Equality Commission,2019,2141 National Gender and Equality Commission 4100000 Financial Assets
0621010 Legal Compliance and Redress,16463043,2141 National Gender and Equality Commission,2019,2141 National Gender and Equality Commission 0621010 Legal Compliance and Redress
0621020 Mainstreaming and Coordination,23111909,2141 National Gender and Equality Commission,2019,2141 National Gender and Equality Commission 0621020 Mainstreaming and Coordination
"0621030 Public Education, Advocacy, And Research",18901796,2141 National Gender and Equality Commission,2019,"2141 National Gender and Equality Commission 0621030 Public Education, Advocacy, And Research"
0621040 General Administration Planning and Support Services,374453252,2141 National Gender and Equality Commission,2019,2141 National Gender and Equality Commission 0621040 General Administration Planning and Support Services
0621000 Promotion of Gender Equality and Freedom from Discrimination,432930000,2141 National Gender and Equality Commission,2019,2141 National Gender and Equality Commission 0621000 Promotion of Gender Equality and Freedom from Discrimination
0622010 Policing Oversight Services,892700000,2151 Independent Policing Oversight Authority,2019,2151 Independent Policing Oversight Authority 0622010 Policing Oversight Services
0622000 Policing Oversight Services,892700000,2151 Independent Policing Oversight Authority,2019,2151 Independent Policing Oversight Authority 0622000 Policing Oversight Services
0702010 Management of Cabinet Affairs,2441935346,1011 The Presidency,2018,1011 The Presidency 0702010 Management of Cabinet Affairs
0702020 Advisory Services on Economic and Social Affairs,80734461,1011 The Presidency,2018,1011 The Presidency 0702020 Advisory Services on Economic and Social Affairs
0702000 Cabinet Affairs,2522669807,1011 The Presidency,2018,1011 The Presidency 0702000 Cabinet Affairs
0703010 State Corporations Advisory Services,55918938,1011 The Presidency,2018,1011 The Presidency 0703010 State Corporations Advisory Services
0703020 Kenya-South Sudan Advisory Services,133532145,1011 The Presidency,2018,1011 The Presidency 0703020 Kenya-South Sudan Advisory Services
0703030 Power of Mercy Advisory Services,71701711,1011 The Presidency,2018,1011 The Presidency 0703030 Power of Mercy Advisory Services
0703050 Coordination of Vision 2030,0,1011 The Presidency,2018,1011 The Presidency 0703050 Coordination of Vision 2030
0703060 Counter-Terrorism Advisory Services,5e+08,1011 The Presidency,2018,1011 The Presidency 0703060 Counter-Terrorism Advisory Services
0703000 Government Advisory Services,761152794,1011 The Presidency,2018,1011 The Presidency 0703000 Government Advisory Services
0704010 Coordination of State House Functions,3311823871,1011 The Presidency,2018,1011 The Presidency 0704010 Coordination of State House Functions
0704020 Administration of Statutory benefits for the retired Presidents,244140492,1011 The Presidency,2018,1011 The Presidency 0704020 Administration of Statutory benefits for the retired Presidents
0704000 State House Affairs,3555964363,1011 The Presidency,2018,1011 The Presidency 0704000 State House Affairs
0734010 General Administration and Support Services,740783412,1011 The Presidency,2018,1011 The Presidency 0734010 General Administration and Support Services
0734020 Coordination and Supervision,1447289154,1011 The Presidency,2018,1011 The Presidency 0734020 Coordination and Supervision
0734030 Effeciency Monitoring and Inspectorate Services,116960693,1011 The Presidency,2018,1011 The Presidency 0734030 Effeciency Monitoring and Inspectorate Services
0734000 Deputy President Services,2305033259,1011 The Presidency,2018,1011 The Presidency 0734000 Deputy President Services
0601010 Kenya Police Services,49055625811,1021 State Department for Interior,2018,1021 State Department for Interior 0601010 Kenya Police Services
0601020 Administration Police Services,30725032184,1021 State Department for Interior,2018,1021 State Department for Interior 0601020 Administration Police Services
0601030 Criminal Investigation Services,6483798478,1021 State Department for Interior,2018,1021 State Department for Interior 0601030 Criminal Investigation Services
0601040 General-Paramilitary Service,8752814553,1021 State Department for Interior,2018,1021 State Department for Interior 0601040 General-Paramilitary Service
0601060 Government Chemist Services,359771571,1021 State Department for Interior,2018,1021 State Department for Interior 0601060 Government Chemist Services
0601070 Crime Research,149580000,1021 State Department for Interior,2018,1021 State Department for Interior 0601070 Crime Research
0601000 Policing Services,95526622597,1021 State Department for Interior,2018,1021 State Department for Interior 0601000 Policing Services
"0602010 Planning, Policy Coordination and Support Service",21468471967,1021 State Department for Interior,2018,"1021 State Department for Interior 0602010 Planning, Policy Coordination and Support Service"
0602030 Disaster Risk Reduction,38473895,1021 State Department for Interior,2018,1021 State Department for Interior 0602030 Disaster Risk Reduction
0602040 National Campaign against Drug and Substance Abuse,0,1021 State Department for Interior,2018,1021 State Department for Interior 0602040 National Campaign against Drug and Substance Abuse
"0602050 Peace Building, National Cohesion and Values",540032000,1021 State Department for Interior,2018,"1021 State Department for Interior 0602050 Peace Building, National Cohesion and Values"
0602060 Special Initiatives,11241745,1021 State Department for Interior,2018,1021 State Department for Interior 0602060 Special Initiatives
0602070 NGO Regulatory Services,119893700,1021 State Department for Interior,2018,1021 State Department for Interior 0602070 NGO Regulatory Services
"0602000 Planning, Policy Coordination and Support Service",22178113307,1021 State Department for Interior,2018,"1021 State Department for Interior 0602000 Planning, Policy Coordination and Support Service"
0603010 Government Printing Services,870390037,1021 State Department for Interior,2018,1021 State Department for Interior 0603010 Government Printing Services
0603000 Government Printing Services,870390037,1021 State Department for Interior,2018,1021 State Department for Interior 0603000 Government Printing Services
0605010 Population Registration Services,7656196177,1021 State Department for Interior,2018,1021 State Department for Interior 0605010 Population Registration Services
0605020 Immigration Services,0,1021 State Department for Interior,2018,1021 State Department for Interior 0605020 Immigration Services
0605000 Population Management Services,7656196177,1021 State Department for Interior,2018,1021 State Department for Interior 0605000 Population Management Services
0624010 Betting Control and Lottery Policy Service,116660845,1021 State Department for Interior,2018,1021 State Department for Interior 0624010 Betting Control and Lottery Policy Service
"0624000 Betting Control, Licensing and Regulation Services",116660845,1021 State Department for Interior,2018,"1021 State Department for Interior 0624000 Betting Control, Licensing and Regulation Services"
0736010 NGO Regulatory Services,,1021 State Department for Interior,2018,1021 State Department for Interior 0736010 NGO Regulatory Services
0736000 NGO Regulatory Services,,1021 State Department for Interior,2018,1021 State Department for Interior 0736000 NGO Regulatory Services
0602040 National Campaign against Drug and Substance Abuse,340338058,1023 State Department for Correctional Services,2018,1023 State Department for Correctional Services 0602040 National Campaign against Drug and Substance Abuse
"0602000 Planning, Policy Coordination and Support Service",340338058,1023 State Department for Correctional Services,2018,"1023 State Department for Correctional Services 0602000 Planning, Policy Coordination and Support Service"
0624010 Betting Control and Lottery Policy Service,,1023 State Department for Correctional Services,2018,1023 State Department for Correctional Services 0624010 Betting Control and Lottery Policy Service
"0624000 Betting Control, Licensing and Regulation Services",,1023 State Department for Correctional Services,2018,"1023 State Department for Correctional Services 0624000 Betting Control, Licensing and Regulation Services"
0604010 Offender Services,24168906512,1023 State Department for Correctional Services,2018,1023 State Department for Correctional Services 0604010 Offender Services
0604020 Capacity Development,1307877442,1023 State Department for Correctional Services,2018,1023 State Department for Correctional Services 0604020 Capacity Development
0604040 Probation and After Care Service,1523455280,1023 State Department for Correctional Services,2018,1023 State Department for Correctional Services 0604040 Probation and After Care Service
0604000 Correctional services,27000239234,1023 State Department for Correctional Services,2018,1023 State Department for Correctional Services 0604000 Correctional services
"0623010 Planning, Policy Coordination and Support Service",521073050,1023 State Department for Correctional Services,2018,"1023 State Department for Correctional Services 0623010 Planning, Policy Coordination and Support Service"
"0623000 General Administration, Planning and Support Services",521073050,1023 State Department for Correctional Services,2018,"1023 State Department for Correctional Services 0623000 General Administration, Planning and Support Services"
0605020 Immigration Services,2575268823,1024 State Department for Immigration and Citizen Services,2018,1024 State Department for Immigration and Citizen Services 0605020 Immigration Services
0605000 Population Management Services,2575268823,1024 State Department for Immigration and Citizen Services,2018,1024 State Department for Immigration and Citizen Services 0605000 Population Management Services
0712010 Management of devolution affairs,122512125,1032 State Department for Devolution,2018,1032 State Department for Devolution 0712010 Management of devolution affairs
0712020 Intergovernmental Relations,7e+08,1032 State Department for Devolution,2018,1032 State Department for Devolution 0712020 Intergovernmental Relations
0712030 Capacity building and Civic Education,1041147126,1032 State Department for Devolution,2018,1032 State Department for Devolution 0712030 Capacity building and Civic Education
0712050 Finance Management Services,35758596000,1032 State Department for Devolution,2018,1032 State Department for Devolution 0712050 Finance Management Services
0712000 Devolution Services,37622255251,1032 State Department for Devolution,2018,1032 State Department for Devolution 0712000 Devolution Services
0732010 Human Resource and Support Services,310035415,1032 State Department for Devolution,2018,1032 State Department for Devolution 0732010 Human Resource and Support Services
0732020 Finance Management Services,1203006539,1032 State Department for Devolution,2018,1032 State Department for Devolution 0732020 Finance Management Services
0732030 Information Communication and Technology,1993753,1032 State Department for Devolution,2018,1032 State Department for Devolution 0732030 Information Communication and Technology
"0732000 General Administration, Planning and Support Services",1515035707,1032 State Department for Devolution,2018,"1032 State Department for Devolution 0732000 General Administration, Planning and Support Services"
0713010 Relief & Rehabilitation,1735751791,1032 State Department for Devolution,2018,1032 State Department for Devolution 0713010 Relief & Rehabilitation
0713000 Special Initiatives,1735751791,1032 State Department for Devolution,2018,1032 State Department for Devolution 0713000 Special Initiatives
0733010 ASAL Development,292638408,1035 State Department for Development of the ASAL,2018,1035 State Department for Development of the ASAL 0733010 ASAL Development
0733020 Drought Management,5813938859,1035 State Department for Development of the ASAL,2018,1035 State Department for Development of the ASAL 0733020 Drought Management
0733030 Administrative Services,285953655,1035 State Department for Development of the ASAL,2018,1035 State Department for Development of the ASAL 0733030 Administrative Services
0733000 Accelerated ASAL Development,6392530922,1035 State Department for Development of the ASAL,2018,1035 State Department for Development of the ASAL 0733000 Accelerated ASAL Development
0801010 National Defense,109352349680,1041 Ministry of Defence,2018,1041 Ministry of Defence 0801010 National Defense
0801000 Defence,109352349680,1041 Ministry of Defence,2018,1041 Ministry of Defence 0801000 Defence
0802010 Civil Aid,2e+08,1041 Ministry of Defence,2018,1041 Ministry of Defence 0802010 Civil Aid
0802000 Civil Aid,2e+08,1041 Ministry of Defence,2018,1041 Ministry of Defence 0802000 Civil Aid
"0803010 Administration, planning and support services",1301397700,1041 Ministry of Defence,2018,"1041 Ministry of Defence 0803010 Administration, planning and support services"
"0803000 General Administration, Planning and Support Services",1301397700,1041 Ministry of Defence,2018,"1041 Ministry of Defence 0803000 General Administration, Planning and Support Services"
0805010 National Space Management,2e+08,1041 Ministry of Defence,2018,1041 Ministry of Defence 0805010 National Space Management
0805000000 National Space Management,2e+08,1041 Ministry of Defence,2018,1041 Ministry of Defence 0805000000 National Space Management
0714010 Administration services,1512957544,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0714010 Administration services
0714000 General Administration Planning and Support Services,1512957544,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0714000 General Administration Planning and Support Services
0715010 Management of Kenya missions abroad,12218291990,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0715010 Management of Kenya missions abroad
0715020 Infrastructure Development for Missions,1644740000,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0715020 Infrastructure Development for Missions
"0715030 Management of International Treaties, Agreements and Conventions",36480031,1052 Ministry of Foreign Affairs,2018,"1052 Ministry of Foreign Affairs 0715030 Management of International Treaties, Agreements and Conventions"
0715040 Coordination of State Protocol,1200121599,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0715040 Coordination of State Protocol
0715050 Management of Diaspora and Consular Affairs,82987420,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0715050 Management of Diaspora and Consular Affairs
0715000 Foreign Relation and Diplomacy,15182621040,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0715000 Foreign Relation and Diplomacy
